Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
33,Purple Hibiscus,,Chimamanda Ngozi Adichie,https://www.audible.com/pd/Purple-Hibiscus-Audiobook/B004XMPAH4?qid=1635711313&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41UeFauTCSL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/14569052-purple-hibiscus?from_search=true&from_srp=true&qid=5T9UZzHdBD&rank=4,,4.17,90648
34,The Shadow Land,A Novel,Elizabeth Kostova,https://www.audible.com/pd/The-Shadow-Land-Audiobook/B01MSUNAIV?qid=1635711313&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/516WiLinvzL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/31394293-the-shadow-land?from_search=true&from_srp=true&qid=UZgAioxa2g&rank=1,,3.71,12581
35,Remarkable Creatures,,Tracy Chevalier,https://www.audible.com/pd/Remarkable-Creatures-Audiobook/B0031SUK1W?qid=1635711313&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51C5QScwGzL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/6457081-remarkable-creatures?from_search=true&from_srp=true&qid=vnsxej3G8i&rank=1,,3.86,47142
36,The End of Temperance Dare,A Novel,Wendy Webb,https://www.audible.com/pd/The-End-of-Temperance-Dare-Audiobook/B072PZ5WKW?qid=1635711313&sr=1-37&ref=a_special-p_c3_lProduct_1_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/414vsNMpCyL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/33127341-the-end-of-temperance-dare?from_search=true&from_srp=true&qid=VJPQCNhrYe&rank=1,,4.0,6478
37,The Quilter's Apprentice,"Elm Creek Quilts, Book 1",Jennifer Chiaverini,https://www.audible.com/pd/The-Quilters-Apprentice-Audiobook/B008L3Q98U?qid=1635711313&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61adWdiO+JL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/148874.The_Quilter_s_Apprentice?from_search=true&from_srp=true&qid=plp9gX21qr&rank=1,,3.93,13527
38,The Vegetarian,A Novel,Han Kang,https://www.audible.com/pd/The-Vegetarian-Audiobook/B01AKPENR0?qid=1635711313&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41rZQ1uiQFL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/25489025-the-vegetarian?from_search=true&from_srp=true&qid=VE7aAgFUML&rank=4,,3.59,110656
39,Tipperary,A Novel of Ireland,Frank Delaney,https://www.audible.com/pd/Tipperary-Audiobook/B002V0RLSQ?qid=1635711313&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61xyRGfHQvL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/749194.Tipperary?from_search=true&from_srp=true&qid=kSKMFHKJ3X&rank=1,,3.76,1724
40,The Water Knife,,Paolo Bacigalupi,https://www.audible.com/pd/The-Water-Knife-Audiobook/B00UAWDZ32?qid=1635711313&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51JDyEvNeHL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/23209924-the-water-knife?from_search=true&from_srp=true&qid=tU6M93yLD4&rank=1,,3.85,24327
41,The Heavenly Table,A Novel,Donald Ray Pollock,https://www.audible.com/pd/The-Heavenly-Table-Audiobook/B01HFHC46S?qid=1635711313&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61nk-RYa1nL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/27245902-the-heavenly-table?from_search=true&from_srp=true&qid=502e04Eo1g&rank=1,,4.08,5198
42,The Art Forger,,B. A. Shapiro,https://www.audible.com/pd/The-Art-Forger-Audiobook/B009AETY8Q?qid=1635711313&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61pncZNQoJL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/14568987-the-art-forger?from_search=true&from_srp=true&qid=KtEeG1iIA6&rank=1,,3.73,81422
