Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Swept Away,,Robyn Carr,https://www.audible.com/pd/Swept-Away-Audiobook/B01F66LIQC?qid=1632673236&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61BQulDPaLL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/27277164-swept-away?from_search=true&from_srp=true&qid=VbY3TFl5vs&rank=1,3.93,4721
The Book of M,A Novel,Peng Shepherd,https://www.audible.com/pd/The-Book-of-M-Audiobook/B07B7CH2X9?qid=1632673236&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51CFkVfOwuL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/36204070-the-book-of-m?from_search=true&from_srp=true&qid=9raUgx45aT&rank=1,3.69,14110
After I Do,,Taylor Jenkins Reid,https://www.audible.com/pd/After-I-Do-Audiobook/B01554F0M8?qid=1632673236&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51PXGRFo5sL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/18775359-after-i-do?from_search=true&from_srp=true&qid=5jYd1sXX9Q&rank=1,4.0,33024
If You Only Knew,,Kristan Higgins,https://www.audible.com/pd/If-You-Only-Knew-Audiobook/B00Z86XSLO?qid=1632673236&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/5107n+06MFL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/23280208-if-you-only-knew?from_search=true&from_srp=true&qid=3ztwxoEWG4&rank=1,4.11,15348
The Orphan House,Absolutely Gripping and Heartbreaking Historical Fiction,Ann Bennett,https://www.audible.com/pd/The-Orphan-House-Audiobook/B0851TVBJG?qid=1632673236&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51K651DLVDL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/49119061-the-orphan-house?from_search=true&from_srp=true&qid=izEvC9ZzUP&rank=1,4.2,2180
What Once Was True,,Jean Grainger,https://www.audible.com/pd/What-Once-Was-True-Audiobook/1974956393?qid=1632673236&sr=1-37&ref=a_special-p_c3_lProduct_1_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51D8-rZ1rhS._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40645901-what-once-was-true?from_search=true&from_srp=true&qid=1pZ58LVkUR&rank=1,4.25,7813
Subterranean,,James Rollins,https://www.audible.com/pd/Subterranean-Audiobook/B0035ZK01G?qid=1632673236&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51YEchzeZ7L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/98807.Subterranean?from_search=true&from_srp=true&qid=SxT2fqWMpm&rank=3,4.01,26618
The Poison Thread,A Novel,Laura Purcell,https://www.audible.com/pd/The-Poison-Thread-Audiobook/198489109X?qid=1632673236&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/410hZwGq-AL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/42178610-the-poison-thread?from_search=true&from_srp=true&qid=s1hUkR236g&rank=1,4.16,8432
Daughter of Moloka'i,,Alan Brennert,https://www.audible.com/pd/Daughter-of-Molokai-Audiobook/1980012563?qid=1632673236&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51xieC3YD0L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/32854324-daughter-of-moloka-i?from_search=true&from_srp=true&qid=Qc1hfMds2o&rank=1,4.08,11631
The Game of Kings,Book One in the Legendary Lymond Chronicles,Dorothy Dunnett,https://www.audible.com/pd/The-Game-of-Kings-Audiobook/1984844474?qid=1632673236&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51G3eEQtXlL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/112077.The_Game_of_Kings?from_search=true&from_srp=true&qid=XkKtfT3rFW&rank=2,4.09,9479
