Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Winter Garden,,Adele Ashworth,https://www.audible.com/pd/Winter-Garden-Audiobook/B00846X5DG?qid=1632673477&sr=1-80&ref=a_special-p_c3_lProduct_2_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51D9Z2LgPuL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/835123.Winter_Garden?from_search=true&from_srp=true&qid=aVbIHTyFfx&rank=1,3.8,1232
Unmarriageable,A Novel,Soniah Kamal,https://www.audible.com/pd/Unmarriageable-Audiobook/B07L47N7Q9?qid=1632673477&sr=1-81&ref=a_special-p_c3_lProduct_2_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61uYa820T8L._SL500_.jpg,Romance,https://www.goodreads.com/book/show/39926661-unmarriageable?from_search=true&from_srp=true&qid=jQp6RQw2cr&rank=1,3.77,10538
Amanda's Wedding,A Novel,Jenny Colgan,https://www.audible.com/pd/Amandas-Wedding-Audiobook/0062890395?qid=1632673477&sr=1-82&ref=a_special-p_c3_lProduct_2_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51rsh4a-SsL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/74482.Amanda_s_Wedding?from_search=true&from_srp=true&qid=zBnIQ4Rorm&rank=2,3.3,4523
The Maid of Fairbourne Hall,,Julie Klassen,https://www.audible.com/pd/The-Maid-of-Fairbourne-Hall-Audiobook/B0080HQKX6?qid=1632673477&sr=1-83&ref=a_special-p_c3_lProduct_2_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51iCeKyo07L._SL500_.jpg,Romance,https://www.goodreads.com/book/show/11701627-the-maid-of-fairbourne-hall?from_search=true&from_srp=true&qid=W7mzgk40YR&rank=1,4.05,12964
Flirting with Forever,,Kendall Ryan,https://www.audible.com/pd/Flirting-with-Forever-Audiobook/B07G9MCP9M?qid=1632673477&sr=1-84&ref=a_special-p_c3_lProduct_2_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51-BnjFIKVL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/37761208-flirting-with-forever?from_search=true&from_srp=true&qid=Fn1eWvW0T0&rank=1,3.91,4256
The Saint,,Tiffany Reisz,https://www.audible.com/pd/The-Saint-Audiobook/B00KY67JX6?qid=1632673477&sr=1-85&ref=a_special-p_c3_lProduct_2_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/41sk5tkysXL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/16117368-the-saint?from_search=true&from_srp=true&qid=PUDKiM93QL&rank=1,4.58,6913
Sleepless in Manhattan,"From Manhattan with Love, Book 1",Sarah Morgan,https://www.audible.com/pd/Sleepless-in-Manhattan-Audiobook/B01L2XPKCG?qid=1632673477&sr=1-86&ref=a_special-p_c3_lProduct_2_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51qmIw+yqJL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/27190170-sleepless-in-manhattan?from_search=true&from_srp=true&qid=rF8AjIDUsK&rank=1,3.84,8426
Mayhem,,Jamie Shaw,https://www.audible.com/pd/Mayhem-Audiobook/B00REWC6J0?qid=1632673477&sr=1-87&ref=a_special-p_c3_lProduct_2_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/510fO2sd3wL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/22552579-mayhem?from_search=true&from_srp=true&qid=oiXHCZCR1l&rank=1,4.16,10286
The Bennetts' Wedding,The Bennett Family and the Masters Family,Brenda Jackson,https://www.audible.com/pd/The-Bennetts-Wedding-Audiobook/1488210306?qid=1632673477&sr=1-88&ref=a_special-p_c3_lProduct_2_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51bpZXr7bCL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/49086292-the-bennetts-wedding?from_search=true&from_srp=true&qid=Tyyq7CK9WX&rank=1,4.66,210
Morna's Legacy Set #1,Scottish Time Travel Romances,Bethany Claire,https://www.audible.com/pd/Mornas-Legacy-Set-1-Audiobook/B01BO2AMFK?qid=1632673477&sr=1-90&ref=a_special-p_c3_lProduct_2_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51kMG3J0wBL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/22011054-morna-s-legacy?from_search=true&from_srp=true&qid=Qk1HRZdowL&rank=1,4.21,1066
Virgin Flyer,,Lucy Lennox,https://www.audible.com/pd/Virgin-Flyer-Audiobook/B085RJM3Q4?qid=1632673477&sr=1-91&ref=a_special-p_c3_lProduct_2_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/41LM1mZ2WKL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/51578713-virgin-flyer?from_search=true&from_srp=true&qid=vbhIKEqGyM&rank=1,4.27,5283
Forever Your Earl,The Wicked Quills of London,Eva Leigh,https://www.audible.com/pd/Forever-Your-Earl-Audiobook/B00YD7GC26?qid=1632673477&sr=1-92&ref=a_special-p_c3_lProduct_2_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61XqXenF2YL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/24515550-forever-your-earl?from_search=true&from_srp=true&qid=GipHeKl94H&rank=1,3.66,2159
Imperial Stout,,Layla Reyne,https://www.audible.com/pd/Imperial-Stout-Audiobook/B07D6V1NK3?qid=1632673477&sr=1-93&ref=a_special-p_c3_lProduct_2_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61tfvH+vFmL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/39672580-imperial-stout?from_search=true&from_srp=true&qid=1k60srtis1&rank=1,4.0,812
Kiss the Girl,,Melissa Brayden,https://www.audible.com/pd/Kiss-the-Girl-Audiobook/B00S6YMKZA?qid=1632673477&sr=1-94&ref=a_special-p_c3_lProduct_2_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/612uYvcRabL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/18406404-kiss-the-girl?from_search=true&from_srp=true&qid=I1zJRPA2mw&rank=1,4.29,3452
Off Season,,Anne Rivers Siddons,https://www.audible.com/pd/Off-Season-Audiobook/B002V0KLZ6?qid=1632673477&sr=1-95&ref=a_special-p_c3_lProduct_2_45&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61+aMXDAuLL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/2825872-off-season?from_search=true&from_srp=true&qid=QM2yyC4uVD&rank=1,3.51,6130
A Brother's Honor,"The Grangers, Book 1",Brenda Jackson,https://www.audible.com/pd/A-Brothers-Honor-Audiobook/B06WLNRY3X?qid=1632673477&sr=1-96&ref=a_special-p_c3_lProduct_2_46&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/515zsrTPyzL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/16160045-a-brother-s-honor?from_search=true&from_srp=true&qid=gTyqgZFYIQ&rank=1,4.32,1966
The Rake,Lessons in Love,Suzanne Enoch,https://www.audible.com/pd/The-Rake-Audiobook/B004WFXD30?qid=1632673477&sr=1-97&ref=a_special-p_c3_lProduct_2_47&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61GWwvEs8wL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/823583.The_Rake?from_search=true&from_srp=true&qid=kC3VHia6er&rank=1,3.87,8149
The Vineyard,A Novel,Barbara Delinsky,https://www.audible.com/pd/The-Vineyard-Audiobook/B0085XRO1W?qid=1632673477&sr=1-98&ref=a_special-p_c3_lProduct_2_48&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51dDCS+EAtL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/278564.The_Vineyard?from_search=true&from_srp=true&qid=zdfjrhGsa9&rank=1,3.86,4289
A Cold Creek Homecoming,"The Cowboys of Cold Creek, Book 6",RaeAnne Thayne,https://www.audible.com/pd/A-Cold-Creek-Homecoming-Audiobook/1488212058?qid=1632673477&sr=1-99&ref=a_special-p_c3_lProduct_2_49&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/61h497uZdsL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/6499202-a-cold-creek-homecoming?from_search=true&from_srp=true&qid=c47NAlxqMK&rank=1,4.02,740
Deal with the Devil,,Evangeline Anderson,https://www.audible.com/pd/Deal-with-the-Devil-Audiobook/B0746QMZDV?qid=1632673477&sr=1-100&ref=a_special-p_c3_lProduct_2_50&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=V8S5X809BEE5JTERQSA8,https://m.media-amazon.com/images/I/51KcNaHuEcL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/35614995-deal-with-the-devil?from_search=true&from_srp=true&qid=o4Duqc0KiJ&rank=1,3.78,1581
Single Malt,"Agents Irish and Whiskey, Book 1",Layla Reyne,https://www.audible.com/pd/Single-Malt-Audiobook/B071FMWDX5?qid=1632673491&sr=1-101&ref=a_special-p_c3_lProduct_3_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/61MP5U+JdrL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/33296928-single-malt?from_search=true&from_srp=true&qid=PO3MuYIN35&rank=1,4.0,2559
Lady Bridget's Diary,,Maya Rodale,https://www.audible.com/pd/Lady-Bridgets-Diary-Audiobook/B0176X805U?qid=1632673491&sr=1-102&ref=a_special-p_c3_lProduct_3_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/51A0FOH-c3L._SL500_.jpg,Romance,https://www.goodreads.com/book/show/25817357-lady-bridget-s-diary?from_search=true&from_srp=true&qid=fihRkkiFjq&rank=1,3.78,2877
Everything for Her,"For Her, Book 1",Alexa Riley,https://www.audible.com/pd/Everything-for-Her-Audiobook/B01M6Y3A5G?qid=1632673491&sr=1-103&ref=a_special-p_c3_lProduct_3_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/61u4FsiPaeL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/31424202-everything-for-her?from_search=true&from_srp=true&qid=jLfTOmYafy&rank=1,3.9,10571
Sweet Little Lies,A Heartbreaker Bay Novel,Jill Shalvis,https://www.audible.com/pd/Sweet-Little-Lies-Audiobook/B01EM41PSK?qid=1632673491&sr=1-104&ref=a_special-p_c3_lProduct_3_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/51qITBf7pmL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/27161224-sweet-little-lies?from_search=true&from_srp=true&qid=eLmC3DseD8&rank=1,3.88,8849
My Sweet Folly,,Laura Kinsale,https://www.audible.com/pd/My-Sweet-Folly-Audiobook/B00EZ5OPFW?qid=1632673491&sr=1-105&ref=a_special-p_c3_lProduct_3_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/51LfPS4hrRL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/657046.My_Sweet_Folly?from_search=true&from_srp=true&qid=ATh3v9MOon&rank=1,3.76,1640
Ruin & Rule,"Pure Corruption, Book 1",Pepper Winters,https://www.audible.com/pd/Ruin-Rule-Audiobook/B010E4SK26?qid=1632673491&sr=1-106&ref=a_special-p_c3_lProduct_3_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/51q8WyWO+KL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/22925912-ruin-rule?from_search=true&from_srp=true&qid=LUXdt8SN7f&rank=1,4.08,8635
Looking Inside,,Beth Kery,https://www.audible.com/pd/Looking-Inside-Audiobook/B01MFXHS1L?qid=1632673491&sr=1-107&ref=a_special-p_c3_lProduct_3_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/51EUEXyiEDL._SL500_.jpg,Romance,https://www.goodreads.com/book/show/29406615-looking-inside?from_search=true&from_srp=true&qid=viqXh6BSG8&rank=1,3.8,1455
Fools Rush In,,Kristan Higgins,https://www.audible.com/pd/Fools-Rush-In-Audiobook/B016WNRNOY?qid=1632673491&sr=1-108&ref=a_special-p_c3_lProduct_3_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XHF8PGQ3Y9ARW6687T99,https://m.media-amazon.com/images/I/5159exuvZ7L._SL500_.jpg,Romance,https://www.goodreads.com/book/show/581999.Fools_Rush_in?from_search=true&from_srp=true&qid=1t4uG4WohT&rank=1,3.78,9422
The 5 Second Rule,"Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89?qid=1632673505&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51dc79x8jsL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/34189313-the-5-second-rule?from_search=true&from_srp=true&qid=PT5n1nVa2Q&rank=20,3.87,25706
Indistractable,How to Control Your Attention and Choose Your Life,"Nir Eyal, Julie Li",https://www.audible.com/pd/Indistractable-Audiobook/B07SXBB3FS?qid=1632673505&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/41bg11XnxiL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/44595007-indistractable?from_search=true&from_srp=true&qid=WJxaWA7kFP&rank=1,3.74,13400
The Universe Has Your Back,Transform Fear into Faith,Gabrielle Bernstein,https://www.audible.com/pd/The-Universe-Has-Your-Back-Audiobook/B01LYHNRUV?qid=1632673505&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51abDIS450S._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/28956892-the-universe-has-your-back?from_search=true&from_srp=true&qid=p4pNa9S3fq&rank=6,3.95,18239
Radical Acceptance,Embracing Your Life with the Heart of a Buddha,Tara Brach,https://www.audible.com/pd/Radical-Acceptance-Audiobook/B006WP75QE?qid=1632673505&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/41ACQO0pPHL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/173666.Radical_Acceptance?from_search=true&from_srp=true&qid=kvSVyQ9jGw&rank=3,4.11,21957
The Radium Girls,The Dark Story of America’s Shining Women,Kate Moore,https://www.audible.com/pd/The-Radium-Girls-Audiobook/B06ZXTMXSH?qid=1632673505&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/61PxV4htChL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/31409135-the-radium-girls?from_search=true&from_srp=true&qid=NrHBWDw0Nx&rank=3,4.12,102069
"Emotional Intelligence, 10th Edition",,Daniel Goleman,https://www.audible.com/pd/Emotional-Intelligence-10th-Edition-Audiobook/B07HMF5DPQ?qid=1632673505&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51iPOMveepL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/26329.Emotional_Intelligence?from_search=true&from_srp=true&qid=YUDo9B0NzK&rank=8,4.01,97466
The Innovator's Dilemma,When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,https://www.audible.com/pd/The-Innovators-Dilemma-Audiobook/B06Y4VPJSJ?qid=1632673505&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51M168EKmQL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/2615.The_Innovator_s_Dilemma?from_search=true&from_srp=true&qid=JF5E1DmT1J&rank=4,4.02,45691
An Indigenous Peoples' History of the United States,Revisioning American History,Roxanne Dunbar-Ortiz,https://www.audible.com/pd/An-Indigenous-Peoples-History-of-the-United-States-Audiobook/B00P1RW1CC?qid=1632673505&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51wNtsjrhXL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/20588662-an-indigenous-peoples-history-of-the-united-states?from_search=true&from_srp=true&qid=IZR18VrKda&rank=1,4.37,9293
The Gift of Therapy,An Open Letter to a New Generation of Therapists and Their Patients,Irvin D. Yalom,https://www.audible.com/pd/The-Gift-of-Therapy-Audiobook/B009P50SAI?qid=1632673505&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51UqJwKIhwL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/21025.The_Gift_of_Therapy?from_search=true&from_srp=true&qid=HjKwy7BaOt&rank=1,4.3,17533
These Truths,A History of the United States,Jill Lepore,https://www.audible.com/pd/These-Truths-Audiobook/B07FDMP96S?qid=1632673505&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/518PDhViW0L._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/43726521-these-truths?from_search=true&from_srp=true&qid=VpSqpIRSHw&rank=1,4.41,8213
The Second Mountain,How People Move from the Prison of Self to the Joy of Commitment,David Brooks,https://www.audible.com/pd/The-Second-Mountain-Audiobook/1984840770?qid=1632673505&sr=1-11&ref=a_special-p_c3_lProduct_1_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/41Ut4AH3LCL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/40642458-the-second-mountain?from_search=true&from_srp=true&qid=V9ZokO1WqI&rank=4,3.75,6846
Nomadland,Surviving America in the Twenty-First Century,Jessica Bruder,https://www.audible.com/pd/Nomadland-Audiobook/B075NMHTVJ?qid=1632673505&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/517bRajnEBL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/38212124-nomadland?from_search=true&from_srp=true&qid=kcQLTucTw8&rank=3,4.05,29945
Hunting the Jackal,A Special Forces and CIA Soldier's Fifty Years on the Frontlines of the War Against Terrorism,"Billy Waugh, Tim Keown",https://www.audible.com/pd/Hunting-the-Jackal-Audiobook/B071NVCRG1?qid=1632673505&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51TiPFgYBPL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/355941.Hunting_the_Jackal?from_search=true&from_srp=true&qid=Z6aT5KO23S&rank=1,4.06,934
The Invention of Nature,Alexander von Humboldt's New World,Andrea Wulf,https://www.audible.com/pd/The-Invention-of-Nature-Audiobook/B016V5CZYQ?qid=1632673505&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51tjBS5K+LL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/23995249-the-invention-of-nature?from_search=true&from_srp=true&qid=dHTx2CWrGl&rank=3,4.2,20313
The Grid,The Fraying Wires Between Americans and Our Energy Future,Gretchen Bakke,https://www.audible.com/pd/The-Grid-Audiobook/B01I5SY518?qid=1632673505&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51-lBsnYhtL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/26073005-the-grid?from_search=true&from_srp=true&qid=8Hc4nnwJaP&rank=1,3.87,2860
Alcohol Explained,,William Porter,https://www.audible.com/pd/Alcohol-Explained-Audiobook/B07814KTGQ?qid=1632673505&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51+RBJVMPcL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/25374689-alcohol-explained?from_search=true&from_srp=true&qid=40dfv1spVP&rank=1,4.42,1823
The Perfect Storm,A True Story of Men Against the Sea,Sebastian Junger,https://www.audible.com/pd/The-Perfect-Storm-Audiobook/B00JZPVY8S?qid=1632673505&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51JBwPc9D0L._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/6545608-the-perfect-storm?from_search=true&from_srp=true&qid=G125aRa5Pw&rank=1,4.09,108382
Hell's Angels,A Strange and Terrible Saga,Hunter S. Thompson,https://www.audible.com/pd/Hells-Angels-Audiobook/B007SN2HF8?qid=1632673505&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/61B4FgN0SmL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/10882.Hell_s_Angels?from_search=true&from_srp=true&qid=42WTInwm0g&rank=1,3.97,44734
An Army at Dawn: The War in North Africa (1942-1943),"The Liberation Trilogy, Volume 1",Rick Atkinson,https://www.audible.com/pd/An-Army-at-Dawn-The-War-in-North-Africa-1942-1943-Audiobook/B00CBKIDUG?qid=1632673505&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/61MnQQIg9lL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/541920.An_Army_at_Dawn?from_search=true&from_srp=true&qid=9Y737CMre7&rank=1,4.25,18216
The House of Morgan,An American Banking Dynasty and the Rise of Modern Finance,Ron Chernow,https://www.audible.com/pd/The-House-of-Morgan-Audiobook/B00H9JEIDA?qid=1632673505&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51Z9tCH9J-L._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/16131.The_House_of_Morgan?from_search=true&from_srp=true&qid=oUdkSHfOms&rank=2,3.83,11355
Switch on Your Brain,"The Key to Peak Happiness, Thinking, and Health",Dr. Caroline Leaf,https://www.audible.com/pd/Switch-on-Your-Brain-Audiobook/B00F8LCTD2?qid=1632673505&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51nQ356DKTL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/18922063-switch-on-your-brain?from_search=true&from_srp=true&qid=vVTyJxC9w9&rank=5,3.93,4629
The Pilgrimage,,Paulo Coelho,https://www.audible.com/pd/The-Pilgrimage-Audiobook/B002V0KI4U?qid=1632673505&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=4RMAE1RFNXSMAPDSKJKB,https://m.media-amazon.com/images/I/51blB+8x9uL._SL500_.jpg,Nonfiction,https://www.goodreads.com/book/show/2759537-the-pilgrimage?from_search=true&from_srp=true&qid=PkLwkZowEp&rank=2,3.64,53917
